Original_all_x,Original_all_y,Original_all_z,Original_coordinates_nZone
12107,3378,4240,0
11923,3456,4240,0
11977,3476,4240,0
11925,3465,4240,0
12005,3537,4240,0
11921,3479,4240,0
11890,3445,4360,0
11752,3558,4360,0
12019,3463,4360,0
12022,3487,4360,0
12116,3465,4360,0
11926,3636,4360,0
12068,3510,4360,0
12040,3516,4360,0
11995,3585,4360,0
11995,3560,4540,0
11967,3516,4540,0
11995,3481,4540,0
11965,3491,4540,0
12056,3690,4540,0
11861,3628,4540,0
11844,3401,4540,0
11980,3440,4540,0
11716,3476,4660,0
11965,3725,4660,0
11851,3631,4660,0
11838,3645,4840,0
12008,3595,4840,0
12068,3619,4840,0
12046,3609,4840,0
11302,3845,4840,0
11365,3925,4840,0
11839,3755,4840,0
12006,3645,4960,0
11751,3455,4660,1
11375,3707,4960,1
11715,3535,4960,1
11795,3465,4540,1
11789,3624,4540,1
11874,3545,4960,1
12003,3555,4400,1
11758,3450,4240,1
12135,3436,4240,1
12095,3544,4840,1
11912,3505,4540,1
12067,3560,4540,1
12059,3472,4240,1
11927,3562,4660,1
12040,3480,4360,1
12053,3454,4360,1
12058,3564,4540,1
12101,3647,4540,1
11777,3521,4660,1
11479,3904,4840,1
11485,3930,4840,1
12012,3761,4660,1
12045,3564,4960,1
11896,3656,4240,1
11862,3525,4540,1
12133,3581,4840,1
11997,3535,4360,2
11878,3587,4960,2
11546,3889,4840,2
12105,3675,4960,2
11839,3743,4840,2
12080,3570,4840,2
11846,3641,4360,3
11881,3624,4360,3
11798,3800,4840,3
11985,3479,4540,3
11920,3654,4660,3
11896,3615,4660,3
11985,3608,4540,4
11761,3760,4960,4
11968,3611,4840,4
