Cell ID,Zones,X,Y,Z,A,C,P,N
,Anterior,11789,3624,4540,1,0,0,0
,Anterior,11874,3545,4960,1,0,0,0
,"Anterior, Central",11997,3535,4360,1,1,0,0
,"Anterior, Central, Posterior",11846,3641,4360,1,1,1,0
,"Anterior, Central, Posterior, Nodular",11968,3611,4840,1,1,1,1
,"Anterior, Posterior",11878,3587,4960,1,0,1,0
,Central,12003,3555,4400,0,1,0,0
,Central,11758,3450,4240,0,1,0,0
,Central,12135,3436,4240,0,1,0,0
,"Central, Nodular",11546,3889,4840,0,1,0,1
,"Central, Posterior",12105,3675,4960,0,1,1,0
,"Central, Posterior",11839,3743,4840,0,1,1,0
,"Central, Posterior, Nodular",11920,3654,4660,0,1,1,1
,Nodular,11479,3904,4840,0,0,0,1
,Nodular,12045,3564,4960,0,0,0,1
,Posterior,11896,3656,4240,0,0,1,0
,"Posterior, Nodular",12080,3570,4840,0,0,1,1
,None,11838,3645,4840,0,0,0,0
,None,11716,3476,4660,0,0,0,0
,None,11980,3440,4540,0,0,0,0
