Cell ID,Zones,X,Y,Z,A,C,P,N
,Anterior,11751,3455,4660,1,0,0,0
,Anterior,11375,3707,4960,1,0,0,0
,Anterior,11715,3535,4960,1,0,0,0
,Anterior,11795,3465,4540,1,0,0,0
,Anterior,11789,3624,4540,1,0,0,0
,Anterior,11874,3545,4960,1,0,0,0
,"Anterior, Central",11997,3535,4360,1,1,0,0
,"Anterior, Central, Posterior",11846,3641,4360,1,1,1,0
,"Anterior, Central, Posterior",11881,3624,4360,1,1,1,0
,"Anterior, Central, Posterior, Nodular",11985,3608,4540,1,1,1,1
,"Anterior, Central, Posterior, Nodular",11761,3760,4960,1,1,1,1
,"Anterior, Central, Posterior, Nodular",11968,3611,4840,1,1,1,1
,"Anterior, Posterior",11878,3587,4960,1,0,1,0
,Central,12003,3555,4400,0,1,0,0
,Central,11758,3450,4240,0,1,0,0
,Central,12135,3436,4240,0,1,0,0
,Central,12095,3544,4840,0,1,0,0
,Central,11912,3505,4540,0,1,0,0
,Central,12067,3560,4540,0,1,0,0
,Central,12059,3472,4240,0,1,0,0
,Central,11927,3562,4660,0,1,0,0
,Central,12040,3480,4360,0,1,0,0
,Central,12053,3454,4360,0,1,0,0
,Central,12058,3564,4540,0,1,0,0
,Central,12101,3647,4540,0,1,0,0
,Central,11777,3521,4660,0,1,0,0
,"Central, Nodular",11546,3889,4840,0,1,0,1
,"Central, Posterior",12105,3675,4960,0,1,1,0
,"Central, Posterior",11839,3743,4840,0,1,1,0
,"Central, Posterior, Nodular",11798,3800,4840,0,1,1,1
,"Central, Posterior, Nodular",11985,3479,4540,0,1,1,1
,"Central, Posterior, Nodular",11920,3654,4660,0,1,1,1
,"Central, Posterior, Nodular",11896,3615,4660,0,1,1,1
,Nodular,11479,3904,4840,0,0,0,1
,Nodular,11485,3930,4840,0,0,0,1
,Nodular,12012,3761,4660,0,0,0,1
,Nodular,12045,3564,4960,0,0,0,1
,Posterior,11896,3656,4240,0,0,1,0
,Posterior,11862,3525,4540,0,0,1,0
,Posterior,12133,3581,4840,0,0,1,0
,"Posterior, Nodular",12080,3570,4840,0,0,1,1
,None,11838,3645,4840,0,0,0,0
,None,11716,3476,4660,0,0,0,0
,None,11890,3445,4360,0,0,0,0
,None,12008,3595,4840,0,0,0,0
,None,12107,3378,4240,0,0,0,0
,None,12006,3645,4960,0,0,0,0
,None,11995,3560,4540,0,0,0,0
,None,11752,3558,4360,0,0,0,0
,None,11965,3725,4660,0,0,0,0
,None,12019,3463,4360,0,0,0,0
,None,11923,3456,4240,0,0,0,0
,None,11967,3516,4540,0,0,0,0
,None,11977,3476,4240,0,0,0,0
,None,11925,3465,4240,0,0,0,0
,None,12068,3619,4840,0,0,0,0
,None,11995,3481,4540,0,0,0,0
,None,11965,3491,4540,0,0,0,0
,None,12046,3609,4840,0,0,0,0
,None,12056,3690,4540,0,0,0,0
,None,12005,3537,4240,0,0,0,0
,None,11921,3479,4240,0,0,0,0
,None,12022,3487,4360,0,0,0,0
,None,12116,3465,4360,0,0,0,0
,None,11926,3636,4360,0,0,0,0
,None,12068,3510,4360,0,0,0,0
,None,12040,3516,4360,0,0,0,0
,None,11861,3628,4540,0,0,0,0
,None,11851,3631,4660,0,0,0,0
,None,11844,3401,4540,0,0,0,0
,None,11302,3845,4840,0,0,0,0
,None,11365,3925,4840,0,0,0,0
,None,11839,3755,4840,0,0,0,0
,None,11980,3440,4540,0,0,0,0
,None,11995,3585,4360,0,0,0,0
